State, Name, Longitude, Latitude, Elevation, MaxTemperature, MinTemperature, AvgTemperature, AtObsTemperature, Precipitation, Snowfall, SnowDepth
KY, LOUISVILLE INTL AP, -85.731, 38.177, 480, 18, 10, 14.0, M, 0.03, 0.6, 4
IN, GREENSBURG, -85.489, 39.348, 937, 18, 6, 12.0, 7, T, T, 9
IN, FRENCH LICK 3N, -86.613, 38.595, 733, 16, 5, 10.5, 8, 0.10, 3.0, M
IN, (WD9HTN)COLUMBUS 2.2 NE, -85.879, 39.229, 807, M, M, M, M, 0.33, 5.5, M
IN, MILLTOWN 6.1 SW, -86.349, 38.277, 823, M, M, M, M, 0.45A, M, 3
IN, CELESTINE 0.3 WSW, -86.784, 38.382, 542, M, M, M, M, 0.53, 4.1, M
IN, GALENA 3.0 SE, -85.896, 38.323, 831, M, M, M, M, 0.53, 2.9, M
KY, BURLINGTON 0.4 SW, -84.728, 39.020, 824, M, M, M, M, 0.51, 5.0, 11
KY, EMINENCE 4.0 NW, -85.220, 38.410, 897, M, M, M, M, T, M, M
IN, BEDFORD 5 WNW, -86.571, 38.888, 760, 17, 4, 10.5, M, 0.04, M, M
IN, ELNORA, -87.092, 38.870, 480, 15, -2, 6.5, 13, 0.40, 5.5, 13
IN, CLIFTY CREEK, -85.421, 38.740, 472, M, M, M, M, 0.60, M, M
IN, COLUMBUS 0.4 WSW, -85.920, 39.208, 633, M, M, M, M, 0.31, M, M
IN, COLUMBUS 3.2 ENE, -85.855, 39.220, 650, M, M, M, M, 0.61, 5.6, 9
IN, TAYLORSVILLE 0.8 SSW, -85.953, 39.285, 659, M, M, M, M, 0.87, 8.0, M
IN, CHARLESTOWN 2.6 N, -85.668, 38.491, 627, M, M, M, M, M, M, M
IN, JEFFERSONVILLE 0.8 NW, -85.736, 38.310, 485, M, M, M, M, 0.43, 3.0, 4
IN, JEFFERSONVILLE 0.4 SE, -85.720, 38.297, 466, M, M, M, M, 0.30, 3.3, 4
IN, MILLTOWN 3.7 WSW, -86.338, 38.324, 675, M, M, M, M, 0.61, 4.1, M
IN, JASONVILLE 4.0 ENE, -87.145, 39.176, 550, M, M, M, M, 0.31, 7.0, 8
IN, HUNTINGBURG 0.4 SSW, -86.961, 38.293, 503, M, M, M, M, 0.59, 5.1, 5
IN, JASPER 5.7 ESE, -86.845, 38.364, 558, M, M, M, M, 0.55, 5.0, 6
IN, JASPER 8.8 NW, -87.040, 38.490, 505, M, M, M, M, M, M, M
IN, AURORA 3.9 W, -84.976, 39.070, 697, M, M, M, M, 0.94, 4.5, M
IN, MOORES HILL 5.7 SSE, -85.036, 39.042, 704, M, M, M, M, 0.40, 3.6, M
IN, PLAINVILLE 1.3 S, -87.155, 38.785, 552, M, M, M, M, 0.53, 7.7, 12
IN, GALENA 4.3 ENE, -85.870, 38.380, 935, M, M, M, M, 0.34, 3.0, 4
IN, CORYDON 0.8 ESE, -86.112, 38.209, 646, M, M, M, M, M, M, M
IN, MILLTOWN 5.7 SSE, -86.254, 38.263, 636, M, M, M, M, 0.36, 2.5, 3
IN, ELIZABETH 1.4 N, -85.977, 38.146, 807, M, M, M, M, S, M, M
IN, NEW SALISBURY 1.2 WNW, -86.117, 38.318, 724, M, M, M, M, 0.42, 3.0, 4
IN, HANOVER 1.4 S, -85.473, 38.696, 761, M, M, M, M, 0.39, 3.5, 5
IN, MITCHELL 4.1 E, -86.401, 38.725, 666, M, M, M, M, 0.58, 4.5, 8
IN, BEDFORD 6.5 SE, -86.407, 38.793, 705, M, M, M, M, 0.56, 5.0, 8
IN, BEDFORD 8.6 NNW, -86.562, 38.972, 713, M, M, M, M, 0.58, 6.5, 10
IN, BEDFORD 3.7 N, -86.478, 38.914, 636, M, M, M, M, 0.64, 6.5, 10
IN, GOSPORT 4.2 E, -86.587, 39.351, 722, M, M, M, M, 0.64, M, M
IN, ELLETTSVILLE 2.7 NE, -86.594, 39.262, 765, M, M, M, M, 0.40, 10.0, 12
IN, BLOOMINGTON 6.5 WNW, -86.630, 39.208, 833, M, M, M, M, 0.68, 7.5, 10
IN, SHOALS 4.0 E, -86.718, 38.661, 745, M, M, M, M, 0.43, 5.5, 8
IN, AURORA 3.6 SSE, -84.887, 39.015, 735, M, M, M, M, 0.61, 5.5, 8
IN, ORLEANS 4.4 ENE, -86.374, 38.678, 712, M, M, M, M, M, M, M
IN, GOSPORT 4.0 WSW, -86.730, 39.320, 581, M, M, M, M, 0.33, 6.0, 9
IN, SPENCER 7.0 S, -86.778, 39.186, 774, M, M, M, M, 0.83, 7.0, 9
IN, OSGOOD 4.1 NE, -85.236, 39.169, 952, M, M, M, M, 0.59, 5.5, 7
IN, FREDERICKSBURG 3.6 NNE, -86.174, 38.484, 771, M, M, M, M, 0.46, M, M
IN, SALEM 0.5 NE, -86.094, 38.612, 787, M, M, M, M, M, M, M
IN, NEW SALEM 1.4 SSE, -85.894, 38.602, 971, M, M, M, M, 0.43, 2.7, M
KY, FLORENCE 1.7 SSW, -84.651, 38.968, 900, M, M, M, M, 0.45, M, M
KY, FOX CHASE 1.4 W, -85.715, 38.045, 499, M, M, M, M, 0.40, 4.0, 4
KY, FRANKFORT 3.3 NE, -84.818, 38.221, 735, M, M, M, M, M, 3.0, 4
KY, FRANKFORT 7.3 W, -85.001, 38.193, 841, M, M, M, M, M, M, M
KY, FRANKFORT 8.0 NNE, -84.830, 38.303, 499, M, M, M, M, 0.35, 2.0, 4
KY, LEXINGTON 3.7 WSW, -84.519, 38.016, 1004, M, M, M, M, 0.77, 1.5, M
KY, LEXINGTON 1.7 SSE, -84.495, 38.025, 1010, M, M, M, M, M, M, M
KY, PLEASUREVILLE 2.3 NE, -85.082, 38.376, 863, M, M, M, M, 0.22, M, M
KY, ANCHORAGE 2.8 NE, -85.505, 38.296, 758, M, M, M, M, 0.37, 2.1, 3
KY, OLD BROWNSBORO PLACE 0.3 SW, -85.614, 38.286, 615, M, M, M, M, 0.40, 2.5, 4
KY, PLEASURE RIDGE PARK 0.6 NNW, -85.857, 38.162, 459, M, M, M, M, 0.45, 2.6, 4
KY, PARK HILLS 0.6 NE, -84.525, 39.077, 541, M, M, M, M, 0.55, 3.0, M
KY, PARK LAKE 1.8 NE, -85.448, 38.362, 807, M, M, M, M, 0.42, 1.3, M
KY, LA GRANGE 3.9 SW, -85.421, 38.358, 707, M, M, M, M, 0.33, 2.6, 4
KY, LA GRANGE 2.2 NNE, -85.357, 38.429, 830, M, M, M, M, 0.42, 2.5, M
KY, GEORGETOWN 1.7 N, -84.551, 38.227, 817, M, M, M, M, 0.52, 2.2, 2
KY, GEORGETOWN 7.2 ENE, -84.431, 38.234, 947, M, M, M, M, M, M, M
KY, SHELBYVILLE 7.6 NNW, -85.304, 38.312, 786, M, M, M, M, M, M, M
KY, TAYLORSVILLE 6.1 NW, -85.423, 38.097, 722, M, M, M, M, 0.45, 3.0, 4
KY, BEDFORD 4.2 NNW, -85.355, 38.645, 876, M, M, M, M, 0.42, 2.0, M
KY, MILTON 1.7 W, -85.403, 38.724, 868, M, M, M, M, 0.41, M, M
KY, MIDWAY 0.4 NNE, -84.681, 38.155, 822, M, M, M, M, 0.63, 2.7, 3
OH, WYOMING 1.2 NW, -84.499, 39.241, 801, M, M, M, M, 0.68, 4.2, 8
OH, CINCINNATI 8.9 NW, -84.579, 39.250, 829, M, M, M, M, 0.62, 4.2, M
IN, CLAY CITY 0.4 SE, -87.107, 39.273, 610, M, M, M, M, 0.45, 11.0, 12
IN, BATESVILLE 4.3 SSW, -85.254, 39.242, 932, M, M, M, M, M, M, M
IN, BATESVILLE 0.4 SSW, -85.221, 39.293, 976, M, M, M, M, M, M, M
OH, COVEDALE 1.5 SSE, -84.625, 39.105, 845, M, M, M, M, 0.49, 2.5, M
IN, WASHINGTON 3.3 SE, -87.136, 38.621, 489, M, M, M, M, 0.46, 5.0, 6
IN, LEOPOLD 1.7 ESE, -86.556, 38.092, 759, M, M, M, M, 0.29, 2.0, 3
IN, (KB9CIY)GREENSBURG 6.0 SW, -85.572, 39.291, 878, M, M, M, M, 0.62, 6.5, 8
IN, (WD8NMZ)BRIGHT 3.5 NNW, -84.888, 39.247, 925, M, M, M, M, M, M, M
IN, (KB9LGS)OOLITIC 2.2 N, -86.534, 38.923, 616, M, M, M, M, 0.28, 2.1, M
KY, WALTON 2.5 NW, -84.644, 38.895, 844, M, M, M, M, 0.51, 4.5, M
IN, (KA9OOO)BRIGHT 2.4 N, -84.862, 39.237, 928, M, M, M, M, 0.53, 4.0, M
KY, MIDDLETOWN 4.9 ENE, -85.437, 38.271, 730, M, M, M, M, 0.41, 2.5, 3
IN, BIG OAKS INDIANA, -85.362, 38.925, 900, 22, 7, 14.5, M, M, M, M
IN, HARDIN RIDGE INDIANA, -86.423, 39.000, 750, 25, 6, 15.5, M, M, M, M
IN, TIPSAW LAKE INDIANA, -86.625, 38.125, 718, 21, 2, 11.5, M, M, M, M
KY, CRITTENDEN KENTUCKY, -84.602, 38.769, 935, 19, 7, 13.0, M, M, M, M
IN, LAWRENCEBURG 3.1 WNW, -84.919, 39.124, 831, M, M, M, M, 0.58, 6.0, 7
KY, LEXINGTON 4.3 W, -84.537, 38.052, 957, M, M, M, M, M, M, M
IN, ENGLISH 7.9 SSW, -86.531, 38.232, 498, M, M, M, M, 0.42, M, M
IN, NASHVILLE 6.6 WNW, -86.356, 39.228, 908, M, M, M, M, 0.62, 6.5, 8
IN, COLUMBUS 1.9 NNE, -85.899, 39.235, 643, M, M, M, M, 0.58, 5.6, 9
IN, BATESVILLE 0.5 NNE, -85.215, 39.304, 973, M, M, M, M, 0.43, 5.5, 6
KY, WESTPORT 0.7 NNE, -85.471, 38.488, 469, M, M, M, M, 0.44, 2.7, M
KY, LOUISVILLE 11.0 ENE (SPRINGHURST), -85.567, 38.302, 674, M, M, M, M, 0.42, M, M
IN, BATESVILLE 1.3 SW, -85.235, 39.284, 968, M, M, M, M, 0.61, 5.9, 10
KY, GLENCOE 6 NW, -84.895, 38.780, 490, 21, 10, 15.5, 11, 0.16, 1.8, 4
KY, FRANKFORT 3NE, -84.834, 38.220, 765, M, M, M, M, 0.54, 3.5, 6
KY, NEW CASTLE 4NE, -85.117, 38.471, 805, M, M, M, M, 0.40, 2.0, 3
KY, ARK ENCOUNTER, -84.589, 38.618, 1003, M, M, M, M, M, M, M
IN, NAPOLEON 1 SE, -85.315, 39.198, 993, M, M, M, M, 0.40, 5.0, M
KY, COVINGTON 1.3 SSE, -84.502, 39.066, 531, M, M, M, M, 0.48, 3.5, 10
IN, SANTA CLAUS 1.4 SW, -86.945, 38.103, 510, M, M, M, M, 0.38, 1.5, M
IN, (KC9RPX)ELLETTSVILLE 0.5 W, -86.631, 39.232, 781, M, M, M, M, 0.67, 7.0, 11
IN, NORTH VERNON 7.8 W, -85.776, 38.999, 603, M, M, M, M, 0.47, 4.5, M
IN, CAMPBELLSBURG 8.4 NNE, -86.184, 38.757, 589, M, M, M, M, 0.62, 6.3, 8
IN, PATOKA LAKE, -86.703, 38.435, 561, 20, 9, 14.5, 9, 0.45, 4.5, 4
OH, CHEVIOT 3 W, -84.677, 39.151, 853, 21, 12, 16.5, 12, 0.67, 3.6, 9
IN, (W9DBA)MORGANTOWN 6.7 SSE, -86.231, 39.279, 764, M, M, M, M, 0.67, 6.1, 10
OH, CINCINNATI 6.7 E, -84.387, 39.089, 769, M, M, M, M, 0.52, 2.2, M
IN, SPRINGVILLE 6.0 W, -86.730, 38.938, 739, M, M, M, M, 0.96, 7.0, 10
KY, RABBIT HASH 2 NE, -84.826, 38.963, 514, M, M, M, M, 0.36, M, M
KY, LEXINGTON 4.7 E, -84.416, 38.047, 947, M, M, M, M, 0.71, M, M
IN, HENRYVILLE 2.6 E, -85.720, 38.538, 619, M, M, M, M, 0.35, 4.0, 4
KY, VERSAILLES 1.5 ESE, -84.704, 38.045, 931, M, M, M, M, 0.72, M, M
KY, FLORENCE 3.2 SSE, -84.629, 38.946, 906, M, M, M, M, 0.54, 3.0, 4
KY, BEDFORD 4.7 N, -85.323, 38.661, 903, M, M, M, M, 0.35, 2.0, M
KY, INDEPENDENCE 2.1 E, -84.509, 38.955, 869, M, M, M, M, M, M, M
KY, SADIEVILLE 3.8 NW, -84.585, 38.431, 949, M, M, M, M, 0.65, 3.0, 3
KY, HIGHLAND HEIGHTS 1.2 SSW, -84.466, 39.022, 822, M, M, M, M, 0.66, 3.5, M
KY, GEORGETOWN 1.0 NW, -84.564, 38.216, 855, M, M, M, M, 0.00, M, M
KY, CYNTHIANA 7.7 WSW, -84.423, 38.337, 886, M, M, M, M, M, M, M
KY, MIDWAY 0.2 SSW, -84.685, 38.147, 838, M, M, M, M, 0.72, M, M
KY, ANCHORAGE 2.7 NE (FOREST SPRINGS), -85.501, 38.291, 753, M, M, M, M, M, M, M
IN, MOORES HILL 5 E, -84.995, 39.100, 831, M, M, M, M, M, M, M
OH, CHEVIOT 4.0 S, -84.609, 39.100, 887, M, M, M, M, 0.77, 3.0, M
KY, INDEPENDENCE 1.3 W, -84.572, 38.958, 828, M, M, M, M, 0.60, M, M
IN, VERSAILLES 5.7 ESE, -85.168, 39.021, 927, M, M, M, M, M, 5.0, 5
IN, GREENVILLE 2.6 SSW, -86.009, 38.338, 729, M, M, M, M, 0.35, 3.0, 4
IN, ELLETTSVILLE 0.6 SSE, -86.619, 39.224, 776, M, M, M, M, 0.81, 7.0, M
IN, MITCHELL 2.1 N, -86.474, 38.766, 661, M, M, M, M, 1.12, 6.7, M
IN, COLUMBUS 3.6 SW, -85.962, 39.175, 659, M, M, M, M, 0.72, M, M
KY, LOUISVILLE 8.3 ESE, -85.620, 38.207, 548, M, M, M, M, 0.60, 2.0, 3
IN, BATESVILLE 6.7 S, -85.213, 39.202, 931, M, M, M, M, 0.70, M, M
KY, WILDER 0.2 ESE, -84.475, 39.035, 850, M, M, M, M, 0.57, 2.8, 10
IN, MADISON 2.4 N, -85.372, 38.770, 850, M, M, M, M, M, M, M
IN, JEFFERSONVILLE 1.6 ESE, -85.699, 38.291, 467, M, M, M, M, 0.35, 3.0, 4
IN, BLOOMFIELD 5.3 ESE, -86.849, 38.990, 543, M, M, M, M, 0.69, M, M
KY, FRANKFORT 1.8 ENE, -84.847, 38.210, 771, M, M, M, M, 0.55, 2.4, M
IN, COLUMBUS 3.8 SW, -85.964, 39.173, 653, M, M, M, M, 0.61, 5.0, M
KY, MIDDLETOWN 1.1 WSW, -85.559, 38.240, 705, M, M, M, M, 0.50, 3.0, 4
OH, CINCINNATI 6.7 W, -84.638, 39.107, 815, M, M, M, M, M, M, M
IN, VEVAY 0.6 NE, -85.063, 38.749, 482, M, M, M, M, 0.41, 1.7, M
IN, NASHVILLE 7.8 SE, -86.117, 39.138, 667, M, M, M, M, 0.67, 4.8, 8
IN, HOPE 5.2 NW, -85.842, 39.349, 688, M, M, M, M, 0.46, 6.0, 9
OH, NORTHGATE 2.8 W, -84.645, 39.257, 835, M, M, M, M, 0.94, 3.9, 4
KY, SIMPSONVILLE 6.6 SSW, -85.406, 38.133, 692, M, M, M, M, M, M, M
KY, BELLEWOOD 1.0 SSW, -85.664, 38.247, 536, M, M, M, M, 0.45A, M, 4
IN, BEDFORD 5.1 NNW, -86.529, 38.928, 678, M, M, M, M, 0.59, M, M
OH, CINCINNATI 7.4 NNW, -84.546, 39.207, 875, M, M, M, M, 0.59, 3.5, 8
IN, ORLEANS 9.2 SE, -86.327, 38.572, 728, M, M, M, M, M, 5.0, 6
OH, CINCINNATI 8.4 N, -84.502, 39.225, 289, M, M, M, M, 0.48, M, M
IN, GEORGETOWN 2.7 NE, -85.935, 38.318, 818, M, M, M, M, 0.39, M, M
IN, BLOOMINGTON 7.1 E, -86.391, 39.186, 580, M, M, M, M, 0.74, 6.5, 10
IN, SPENCER 5.7 SE, -86.698, 39.225, 686, M, M, M, M, 0.69, 7.0, 10
KY, SOUTHGATE 0.6 SSE, -84.466, 39.053, 771, M, M, M, M, M, M, M
IN, VERSAILLES 5.2 SE, -85.204, 39.002, 930, M, M, M, M, M, 4.0, M
IN, CLARKSVILLE 2.3 N, -85.767, 38.350, 459, M, M, M, M, M, M, M
IN, BEDFORD 9.1 NNW, -86.555, 38.983, 712, M, M, M, M, 0.63, M, M
IN, HARTFORD CITY 4 ESE, -85.289, 40.436, 924, 13, 8, 10.5, 9, 0.41, 8.0, 12
IN, BOWLING GREEN 1 W, -87.040, 39.385, 601, M, M, M, M, 0.45, 8.0, 9
IN, BROOKVILLE, -85.014, 39.424, 630, 20, 12, 16.0, 12, 0.46, 5.0, 8
IN, MARTINSVILLE 2 SW, -86.453, 39.404, 592, 15, 8, 11.5, 8, 0.67, 8.0, 11
IN, SHELBYVILLE SEWAGE PLANT, -85.791, 39.528, 752, 18, 10, 14.0, 10, 0.64, 7.0, 7
IN, ALPINE 2 NE, -85.158, 39.574, 767, M, M, M, M, 0.66, 8.5, 10
IN, RUSHVILLE, -85.453, 39.604, 948, 18, 9, 13.5, 9, 0.40, 7.5, 9
IN, INDIANAPOLIS INTL AP, -86.282, 39.725, 792, 19, 4, 11.5, M, 0.01, 1.3, 8
IN, GREENFIELD, -85.761, 39.786, 869, 16, 10, 13.0, 11, 0.52, 6.0, 7
IN, INDIANAPOLIS EAGLE CREEK AP, -86.296, 39.825, 812, 18, 4, 11.0, M, T, M, M
IN, RICHMOND WATER WORKS, -84.878, 39.854, 1005, 17, -5, 6.0, -5, 0.03, M, M
IN, NEW CASTLE 3 SW, -85.395, 39.894, 991, 15, 9, 12.0, 9, 0.49, 9.0, 12
IN, JAMESTOWN 2 E, -86.598, 39.924, 962, 13, 6, 9.5, 8, 0.57, 7.3, 10
IN, WHITESTOWN, -86.354, 39.996, 941, 16, 7, 11.5, 15, 0.22, 4.0, 11
IN, ANDERSON 1 N, -85.681, 40.117, 843, 18, 6, 12.0, 9, T, T, 7
IN, FARMLAND 5 NNW, -85.148, 40.254, 965, 15, 7, 11.0, 13, 0.30, 8.0, 12
IN, MUNCIE, -85.350, 40.183, 966, M, M, M, M, 0.56, 6.0, 7
IN, TIPTON 5 SW, -86.109, 40.223, 890, 15, 9, 12.0, 10, 0.55, 8.5, 15
IN, FRANKFORT DISPOSAL, -86.507, 40.299, 824, 17, -0, 8.5, -0, 0.02, 1.0, 13
IN, LAFAYETTE 8 S, -86.903, 40.296, 732, 14, 4, 9.0, 5, 0.30, 8.8, 13
IN, KOKOMO 3 WSW, -86.176, 40.458, 822, 13, 8, 10.5, 9, 0.75, 9.3, 13
IN, W LAFAYETTE SEW PLANT, -86.906, 40.417, 531, M, M, M, M, 0.85, 10.0, 15
IN, LAFAYETTE PURDUE UNIVERSITY AP, -86.947, 40.412, 596, 20, 2, 11.0, M, T, M, M
IN, WEST LAFAYETTE 6 NW, -86.992, 40.475, 708, 12, -0, 6.0, -0, 0.16, 4.0, 10
IN, MARION 2 N, -85.659, 40.580, 790, M, M, M, M, 0.68, 7.0, 13
IN, YOUNG AMERICA, -86.342, 40.562, 775, M, M, M, M, M, 9.2, 18
IN, BERNE WWTP, -84.930, 40.668, 839, 13, 9, 11.0, 9, 0.94, 9.5, 10
IN, WABASH, -85.826, 40.792, 665, 18, -1, 8.5, -1, 0.03, T, T
IN, PERU, -86.074, 40.765, 660, M, M, M, M, 0.53, 6.3, 13
IN, LOGANSPORT CICOTT ST., -86.388, 40.748, 600, 14, 9, 11.5, 9, 0.40, 4.0, 11
IN, DECATUR 1 N, -84.930, 40.848, 785, 13, 10, 11.5, 10, 0.14, 10.0, 16
IN, HUNTINGTON, -85.499, 40.856, 731, 11, 6, 8.5, 7, 0.53, 8.5, 11
IN, RENSSELAER WWTP, -87.175, 40.924, 658, 9, 4, 6.5, 7, 0.45, 8.0, 17
IN, NORTH MANCHESTER WWTP, -85.775, 40.994, 760, 19, -7, 6.0, -6, 0.00, 0.0, 11
IN, WINAMAC 2SSE, -86.587, 41.027, 690, 14, 7, 10.5, 7, 0.40, 0.0, 16
IN, ROCHESTER, -86.210, 41.067, 760, 12, 8, 10.0, 9, 0.36, 10.0, 17
IN, COLUMBIA CITY, -85.490, 41.145, 834, 13, 9, 11.0, 9, 0.25, 4.0, 12
IN, WARSAW, -85.868, 41.263, 815, 18, 2, 10.0, 8, 0.66, 6.0, 7
IN, KNOX WWTP, -86.628, 41.305, 690, 13, 5, 9.0, 6, 0.40, 4.0, 14
IN, GARRETT, -85.129, 41.342, 880, 15, 8, 11.5, 8, 0.62, 9.0, 13
IN, WANATAH 2 WNW, -86.929, 41.444, 735, 13, 5, 9.0, 11, 0.07, 3.0, 13
IN, VALPARAISO PORTER COUNTY MUNICIPAL AP, -86.998, 41.454, 768, 20, 6, 13.0, M, M, M, M
IN, GOSHEN MUNICIPAL AP, -85.787, 41.527, 824, 18, 7, 12.5, M, T, M, M
IN, LAKEVILLE, -86.269, 41.527, 841, 12, 7, 9.5, 8, 0.37, 6.0, 15
IN, GOSHEN 3SW, -85.882, 41.558, 875, 16, 6, 11.0, 14, 0.23, 3.9, 12
IN, ANGOLA, -85.018, 41.664, 1020, 12, 5, 8.5, 6, 0.29, 7.0, 13
IN, LAPORTE, -86.730, 41.612, 809, 20, 6, 13.0, 6, 0.02, 0.4, 10
IN, ELKHART PUBLIC WORKS & UT, -86.002, 41.678, 750, M, M, M, M, 0.25, 1.5, 11
IN, SOUTH BEND AP, -86.316, 41.707, 772, 21, 0, 10.5, M, 0.06, 1.4, 16
IN, CRAWFORDSVILLE 6 SE, -86.801, 40.003, 836, 14, 4, 9.0, 8, 0.57, 9.2, 13
IN, PLYMOUTH, -86.336, 41.339, 815, 13, 8, 10.5, 9, 0.49, 8.9, 16
IN, WARSAW 5SW, -85.919, 41.172, 850, M, M, M, M, 0.42, 7.0, 14
IN, GARRETT 1 S, -85.120, 41.337, 870, 16, 7, 11.5, 15, 0.40, 6.1, 15
IN, INDIANA DUNES NATIONAL PARK, -87.088, 41.632, 683, M, M, M, M, M, M, M
IN, CHALMERS 5 W, -86.955, 40.665, 720, 13, 5, 9.0, 9, 0.38, 5.0, 11
IN, SOUTH BEND WWTP, -86.269, 41.720, 670, M, M, M, M, 0.35, M, M
IN, FRANCESVILLE, -86.881, 40.989, 676, 14, 1, 7.5, 10, 0.29, 5.6, 12
IN, NEW CARLISLE, -86.503, 41.706, 760, M, M, M, M, 0.36, M, 6
IN, MORRISTOWN 2 SE, -85.678, 39.648, 885, M, M, M, M, 0.20, 7.8, 11
IN, CASTLETON 2 S, -86.051, 39.880, 824, 19, 3, 11.0, 3, 0.01, 0.3, 8
IN, FRANKLIN WWTP, -86.041, 39.468, 720, 15, 8, 11.5, 8, 0.53, 10.8, 11
IN, HUNTERTOWN 2.6 ESE, -85.124, 41.214, 846, M, M, M, M, 0.57, 9.0, 14
IN, FORT WAYNE 9.1 SE, -85.003, 40.992, 814, M, M, M, M, 0.70, 10.0, M
IN, WOODBURN 2.8 WSW, -84.906, 41.117, 745, M, M, M, M, 0.38, 5.1, M
IN, FORT WAYNE 7.1 WSW, -85.271, 41.047, 836, M, M, M, M, M, M, M
IN, HARTFORD CITY 4.8 NW, -85.427, 40.507, 886, M, M, M, M, 0.86, 8.0, M
IN, NEW ROSS 2.0 E, -86.676, 39.961, 951, M, M, M, M, M, M, M
IN, LEBANON 4.5 NNE, -86.455, 40.115, 932, M, M, M, M, 0.82, 9.3, 13
IN, THORNTOWN 3.4 SW, -86.650, 40.091, 879, M, M, M, M, 0.22, 8.0, 11
IN, ZIONSVILLE 3.8 N, -86.269, 40.004, 909, M, M, M, M, 0.43, M, M
IN, EATON 4.0 SW, -85.416, 40.306, 889, M, M, M, M, 0.27, M, M
IN, MIDDLEBURY 2.6 WSW, -85.760, 41.662, 912, M, M, M, M, 0.36, M, M
IN, WAKARUSA 2.4 NNE, -85.993, 41.566, 840, M, M, M, M, 0.32, 5.4, 8
IN, NORTHERN INDIANA WFO, -85.700, 41.359, 951, 18, 7, 12.5, 7, 0.05, 1.1, 11
IN, MUNCIE 4.3 SSE, -85.358, 40.140, 981, M, M, M, M, 0.43, M, M
IN, (KB9CRA)GAS CITY 0.3 N, -85.606, 40.494, 852, M, M, M, M, 0.68, 11.0, 14
IN, NEW PALESTINE 1.2 NW, -85.909, 39.732, 823, M, M, M, M, 0.72, 7.2, M
IN, GREENWOOD 4.6 SW, -86.175, 39.568, 774, M, M, M, M, 0.71, 10.1, 12
IN, NORTH WEBSTER 2.3 N, -85.701, 41.359, 955, M, M, M, M, 0.49, 6.2, 12
IN, MILFORD 0.9 N, -85.847, 41.424, 837, M, M, M, M, 0.48, 7.0, M
IN, KENDALLVILLE 4.5 NW, -85.307, 41.497, 973, M, M, M, M, M, M, M
IN, (K9EKP) PARKER CITY 0.3 NE, -85.199, 40.193, 1022, M, M, M, M, M, M, M
MI, CONSTANTINE 1.9 E, -85.628, 41.840, 806, M, M, M, M, M, M, M
IN, WOODBURN 3N, -84.848, 41.165, 710, 14, 9, 11.5, 9, 0.25, 11.6, 17
IN, AVILLA 3SW, -85.296, 41.353, 990, M, M, M, M, 0.71, 10.0, 15
IN, FORT WAYNE 4.1 NE, -85.089, 41.121, 814, M, M, M, M, 0.61, 8.1, 17
IN, REELSVILLE 4 SW, -87.003, 39.502, 628, M, M, M, M, 0.43, M, M
MI, NILES, -86.266, 41.841, 650, 20, 8, 14.0, 19, 0.29, 10.5, 12
MI, HILLSDALE, -84.641, 41.935, 1080, 15, -14, 0.5, -14, 0.00, M, M
MI, THREE RIVERS, -85.638, 41.930, 810, 15, 7, 11.0, 7, 0.39, 7.0, 12
MI, COLDWATER ST SCHOOL, -84.992, 41.962, 984, 18, -12, 3.0, -12, 0.00, 0.0, 12
MI, BENTON HARBOR AIRPORT, -86.427, 42.125, 625, 32, 6, 19.0, 18, 0.25, 4.0, M
OH, MIDDLETOWN, -84.407, 39.516, 646, M, M, M, M, 0.34, M, M
OH, OXFORD, -84.718, 39.507, 783, M, M, M, M, 0.56, M, M
OH, GERMANTOWN DAM, -84.401, 39.636, 738, M, M, M, M, 0.58, M, M
OH, EATON, -84.635, 39.733, 1002, 18, 11, 14.5, 11, 0.53, M, M
OH, WEST MANCHESTER 3 WSW, -84.656, 39.873, 1109, M, M, M, M, 0.37, M, M
OH, GREENVILLE WATER PLANT, -84.650, 40.103, 1030, 20, -0, 10.0, 2, 0.81, 8.0, 14
OH, VERSAILLES, -84.495, 40.221, 966, M, M, M, M, 0.20, M, M
OH, FORT RECOVERY, -84.786, 40.410, 935, M, M, M, M, 0.78, M, M
OH, ST. MARYS 3 W, -84.437, 40.545, 874, M, M, M, M, 0.45, M, M
OH, CELINA 3 NE, -84.537, 40.569, 866, 13, 6, 9.5, 10, 0.21, 6.0, 13
OH, VAN WERT 1 S, -84.581, 40.849, 790, 14, 8, 11.0, 8, 0.66, 10.0, 13
OH, PAULDING, -84.592, 41.125, 725, 15, 9, 12.0, 10, 0.72, 8.0, 14
OH, DEFIANCE, -84.385, 41.278, 700, 13, 9, 11.0, 11, 0.20, 12.0, 13
OH, HICKSVILLE, -84.760, 41.287, 750, 15, 9, 12.0, 9, 0.46, 9.0, 13
OH, BRYAN 2 SE, -84.527, 41.462, 730, 14, 9, 11.5, 10, 0.65, M, M
IN, LEBANON 6 W, -86.574, 40.051, 925, M, M, M, M, 0.62, 8.0, 11
IN, FLORA, -86.522, 40.554, 685, M, M, M, M, 0.10, 8.0, 15
IN, CARMEL 3 E, -86.058, 39.962, 752, 14, 8, 11.0, 8, 0.47, 9.8, 11
IN, SHELBYVILLE MUNICIPAL AP, -85.800, 39.585, 802, 21, 3, 12.0, M, T, M, M
OH, DEFIANCE AP, -84.428, 41.336, 706, 19, 6, 12.5, M, T, M, M
